date,amount,category,description,payment_method,is_fixed,essential
2026-01-10,72000,쇼핑,ZARA,체크카드,False,False
2026-02-01,9000,식비,투썸플레이스,신용카드,False,False
2026-01-20,16000,식비,쿠팡이츠,현금,False,False
01.16,7000,식비,쿠팡이츠,계좌이체,False,False
2026-01-27,"25,000",식비,삼겹살집,현금,False,False
2026/01/25,"5,000",쇼핑,무인양품,체크카드,False,False
2026-01-19,24000,식비,투썸플레이스,현금,False,False
2026-01-11,25000,식비,삼겹살집,신용카드,False,False
2026/01/25,"15,000",식비,이마트24,계좌이체,False,True
2026-01-23,4900,교통비,택시,현금,False,False
2026/01/21,20000,식비,GS25,체크카드,False,True
2026-01-06,16000,교통비,카카오T,체크카드,False,False
2026-01-05,8000,식비,배달의민족,계좌이체,False,False
2026-01-18,"1,700",교통비,SK주유소,체크카드,False,True
2026-01-16,12700,교통비,지하철,현금,False,True
2026-01-27,13000,식비,쿠팡이츠,계좌이체,False,False
2026-01-04,14000,식비,스타벅스,체크카드,False,True
2026-01-22,19000,문화/여가,야구장,신용카드,False,False
2026-01-14,"12,000",문화/여가,야구장,계좌이체,False,False
2026-01-23,7000,식비,쿠팡이츠,계좌이체,False,False
01.16,40000,기타,더치페이,신용카드,False,True
2026-01-03,18900,교통비,코레일,현금,False,True
2026-02-01,"18,600",교통비,코레일,체크카드,False,True
01.30,113000,쇼핑,무인양품,현금,False,False
2026-01-06,141000,쇼핑,ZARA,현금,False,False
01.27,"18,000",식비,쿠팡이츠,계좌이체,False,False
2026-01-26,15000,문화/여가,롯데월드,계좌이체,False,False
2026-01-25,"50,000",교육,토익접수,체크카드,False,True
2026-01-04,11700,교통비,카카오T,신용카드,False,True
2026-01-15,22000,식비,구내식당,체크카드,False,True
2026-01-14,5600,교통비,택시,체크카드,False,False
2026-01-03,15000,식비,스타벅스,체크카드,False,False
01.06,"8,000",의료/건강,치과,체크카드,False,True
2026-01-30,"18,000",식비,김밥천국,계좌이체,False,True
2026-01-06,39000,문화/여가,PC방,신용카드,False,True
2026-01-15,"27,000",문화/여가,CGV,체크카드,False,True
2026-01-07,122000,쇼핑,네이버쇼핑,현금,False,False
2026-01-25,"10,000",식비,이마트24,계좌이체,False,True
2026-01-16,21000,구독,ChatGPT,신용카드,True,False
2026-01-25,24000,구독,유튜브프리미엄,신용카드,True,False
2026-01-07,4000,식비,구내식당,체크카드,False,True
2026-01-18,24000,구독,쿠팡와우,신용카드,True,False
2026-01-14,"5,000",식비,김밥천국,현금,False,True
2026-01-31,"60,000",교육,토익접수,체크카드,False,True
01.05,21400,교통비,GS칼텍스,계좌이체,False,True
01.04,20000,식비,배달의민족,체크카드,False,False
2026/01/09,21600,교통비,GS칼텍스,현금,False,True
01.04,13100,교통비,택시,계좌이체,False,False
2026-01-14,60000,교육,인프런,계좌이체,True,True
2026-01-15,"80,000",교육,인프런,체크카드,False,True
2026-01-22,19200,교통비,지하철,신용카드,False,True
2026-01-02,"77,000",쇼핑,무인양품,현금,False,False
2026-01-10,12000,식비,스타벅스,신용카드,False,False
