date,amount,category,description,payment_method,is_fixed,essential
2026/01/29,14000,식비,구내식당,계좌이체,False,True
2026/01/18,11700,교통비,버스,계좌이체,False,True
2026-01-27,4700,교통비,카카오T,체크카드,False,True
2026-01-24,4000,식비,김밥천국,계좌이체,False,True
2026.01.23,"50,000",문화/여가,야구장,계좌이체,False,False
2026-01-27,16000,문화/여가,롯데월드,체크카드,False,False
2026-01-07,17000,식비,삼겹살집,계좌이체,False,False
2026-01-12,12200,교통비,지하철,신용카드,False,True
2026-01-23,20000,문화/여가,CGV,계좌이체,False,False
2026-01-10,24000,식비,구내식당,현금,False,True
2026-01-22,50000,기타,더치페이,신용카드,False,False
2026-01-28,"20,000",주거/통신,도시가스,계좌이체,True,True
2026-01-07,29000,쇼핑,ZARA,계좌이체,False,False
2026-01-09,31000,문화/여가,PC방,체크카드,False,False
2026-02-01,8100,교통비,버스,현금,False,True
2026-01-20,21000,식비,투썸플레이스,신용카드,False,False
2026-01-11,16000,문화/여가,CGV,계좌이체,False,False
2026-01-31,13000,식비,쿠팡이츠,현금,False,False
2026-01-06,24500,교통비,버스,계좌이체,False,True
2026-01-13,21000,문화/여가,교보문고,현금,False,True
2026/01/01,22000,식비,이마트24,체크카드,False,True
2026-01-17,15800,교통비,GS칼텍스,체크카드,False,True
2026-01-17,44000,의료/건강,치과,계좌이체,False,True
2026-01-15,15000,문화/여가,CGV,신용카드,False,False
2026-01-13,19000,식비,김밥천국,체크카드,False,True
2026-01-12,"100,000",주거/통신,관리비,계좌이체,True,True
2026/01/08,20000,식비,투썸플레이스,계좌이체,False,False
2026-01-03,122000,쇼핑,ZARA,계좌이체,False,False
2026-01-21,70000,기타,경조사비,현금,False,False
2026.01.21,36000,쇼핑,다이소,체크카드,False,True
2026-01-19,"19,000",식비,맥도날드,계좌이체,False,False
2026/01/04,144000,쇼핑,올리브영,신용카드,False,False
2026-02-01,13000,의료/건강,치과,신용카드,False,True
2026-01-22,12000,교통비,지하철,계좌이체,False,True
2026-01-22,15000,문화/여가,교보문고,현금,False,False
2026/01/29,143000,쇼핑,무신사,체크카드,False,False
2026-02-01,14600,교통비,택시,계좌이체,False,False
2026-01-10,11600,교통비,카카오T,체크카드,False,True
2026-01-29,"50,000",교육,교재구입,체크카드,True,True
2026-01-30,36000,쇼핑,유니클로,체크카드,False,False
2026.01.23,30000,주거/통신,인터넷요금,계좌이체,True,True
2026/01/10,11000,식비,삼겹살집,현금,False,False
2026-01-07,20000,식비,맥도날드,신용카드,False,False
2026-01-15,22200,교통비,지하철,현금,False,True
2026-01-01,"30,000",기타,경조사비,계좌이체,False,False
2026.01.09,80000,주거/통신,SKT통신비,계좌이체,True,True
2026-01-20,2500,교통비,택시,현금,False,False
2026-01-10,40000,문화/여가,롯데월드,현금,False,False
2026-01-25,700000,주거/통신,월세,계좌이체,True,True
2026-01-28,"5,600",교통비,코레일,계좌이체,False,True
2026-01-29,20000,교육,토익접수,체크카드,False,True
2026-01-31,30000,교육,인프런,신용카드,False,True
2026-01-18,"43,000",문화/여가,야구장,현금,False,False
2026-01-12,36000,문화/여가,CGV,계좌이체,False,False
2026-01-28,11000,식비,배달의민족,체크카드,False,False
2026-01-10,15000,문화/여가,야구장,신용카드,False,False
2026-01-04,16000,의료/건강,치과,신용카드,False,True
2026-01-10,"14,000",문화/여가,야구장,계좌이체,False,False
2026-01-05,"14,000",식비,쿠팡이츠,계좌이체,False,False
2026-01-03,18500,교통비,택시,현금,False,False
2026-01-31,12500,교통비,SK주유소,신용카드,False,False
2026.01.23,"20,000",구독,ChatGPT,신용카드,True,False
2026-01-13,"82,000",쇼핑,유니클로,계좌이체,False,False
2026-02-01,13600,교통비,GS칼텍스,현금,False,True
2026.01.29,2600,교통비,지하철,체크카드,False,True
2026-01-06,"48,000",문화/여가,PC방,현금,False,False
2026-01-20,96000,쇼핑,네이버쇼핑,체크카드,False,False
2026-01-03,"12,000",식비,GS25,계좌이체,False,True
2026-01-12,"11,000",식비,맥도날드,계좌이체,False,False
2026-01-03,70000,기타,더치페이,현금,False,False
2026-01-11,"12,000",식비,배달의민족,계좌이체,False,False
2026-01-17,"18,700",교통비,지하철,체크카드,False,True
2026-01-22,"2,000",교통비,택시,계좌이체,False,False
2026-02-01,"24,000",식비,김밥천국,신용카드,False,True
2026.01.23,"11,000",식비,스타벅스,신용카드,False,False
2026-01-31,9000,문화/여가,야구장,현금,False,False
2026-01-10,2000,교통비,카카오T,체크카드,False,True
2026-01-19,19000,식비,삼겹살집,신용카드,False,False
2026-01-25,8000,식비,투썸플레이스,현금,False,True
2026-01-15,32000,문화/여가,CGV,계좌이체,False,False
